"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1876418359589568864","Mon Jan 06 23:59:33 +0000 2025","0","Ketika msk R3 Kualifikasi Piala Dunia 2026 semua paham jk Timnas Indonesia(diatas kertas) gak diperhitungkan lolos. Tp ketika brhasil menahan imbang Aussie &amp; Arab Saudi tb2 pasang target lolos pildun. Menurutq inilah benih2 awal PSSI VS Shin Tae-yong","1876418359589568864","","","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/Alfan_Edogawa/status/1876418359589568864","321298455","Alfan_Edogawa"
"1876418077535166637","Mon Jan 06 23:58:26 +0000 2025","0","ini cerita shin tae-yong dipecat sedihnya ngalahin drama korea","1876418077535166637","","","in","bks","0","1","0","https://x.com/insinyurhebat/status/1876418077535166637","747901896","insinyurhebat"
"1876327231330652369","Mon Jan 06 23:57:56 +0000 2025","2","@aingriwehuy Pecat Shin Tae-yong dari Timnas Indonesia PSSI Bakal Dipanggil ke DPR RI https://t.co/hKSRgSHimc","1876417952020615635","","aingriwehuy","in","Jakarta","0","2","1","https://x.com/okezonenews/status/1876417952020615635","47274731","okezonenews"
"1876254726637187350","Mon Jan 06 23:57:48 +0000 2025","42","@aingriwehuy Pecat Shin Tae-yong dari Timnas Indonesia PSSI Bakal Dipanggil ke DPR RI https://t.co/hKSRgSHimc","1876417916612333758","","aingriwehuy","in","Jakarta","2","5","6","https://x.com/okezonenews/status/1876417916612333758","47274731","okezonenews"
"1876417676492624117","Mon Jan 06 23:56:50 +0000 2025","1","Pecat Shin Tae-yong dari Timnas Indonesia PSSI Bakal Dipanggil ke DPR RI https://t.co/hKSRgSHimc","1876417676492624117","","","in","Jakarta","0","0","0","https://x.com/okezonenews/status/1876417676492624117","47274731","okezonenews"
"1876416948684419483","Mon Jan 06 23:53:57 +0000 2025","0","Yg sering bermasalah &amp; gk bisa kerja itu Polisi tp yg dipecat Shin tae-yong.","1876416948684419483","","","in","","0","0","0","https://x.com/poetra1038331/status/1876416948684419483","1798715182937706496","poetra1038331"
"1876416758963482801","Mon Jan 06 23:53:12 +0000 2025","1","Penyebab Erick Thohir Sengaja Pecat Shin Tae-yong Usai Timnas Indonesia Tampil di Piala AFF 2024 https://t.co/uw3BaYv6Qu","1876416758963482801","","","in","Jakarta","0","2","0","https://x.com/okezonenews/status/1876416758963482801","47274731","okezonenews"
"1876416443975442885","Mon Jan 06 23:51:57 +0000 2025","1","Pagi pagi abyar. apakah masih patah hati ni. Kabarnya Coach Shin Tae-yong hari ini OTW ke Negaranya di Korea Selatan https://t.co/J6ulzViA5I","1876416443975442885","https://pbs.twimg.com/media/Ggpez5nbYAAp4GX.jpg","","in","","0","1","0","https://x.com/tmm_id/status/1876416443975442885","1458466646981738496","tmm_id"
"1876416203461448093","Mon Jan 06 23:50:59 +0000 2025","1","Kecewa Shin Tae-yong Dipecat PSSI Justin Hubner: Dia Seorang Pejuang https://t.co/8VlPNr3se0","1876416203461448093","","","in","Indonesia","0","1","1","https://x.com/rmol_id/status/1876416203461448093","990237626","rmol_id"
"1876210111280222508","Mon Jan 06 23:50:37 +0000 2025","0","@FabrizioRomano Shin Tae-Yong bisa²nya dipecat...","1876416110595375455","","FabrizioRomano","in","pekalongan","0","0","0","https://x.com/UdianaYoshioka/status/1876416110595375455","2235611810","UdianaYoshioka"
